Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
australian_electricity_demand,Energy,5 (Multivariate - representing 5 states),"2,400,000",30 minutes,Monash TSF Archive /  Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,"Half-hourly electricity demand for 5 Australian states (VIC, NSW, QLD, TAS, SA) from 2002 to 2015.  Included in the TSFM-ScalingLaws-Dataset pre-training corpus.",A key benchmark for multivariate and multi-seasonal forecasting.  The significantly larger number of time points suggests a different dataset or perhaps a resampled version. Discrepancy in Zenodo link between `TSFM-Bench` and other sources.,27,3,22,Split into 2 records on 2025-08-04 15:21:30,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
australian_electricity_demand_half_hourly,Energy,>1 (Multivariate),230736 - 232272,Half Hourly,Zenodo,Zenodo Record,"Contains 5 long time series of total half-hourly electricity demand for five Australian states (NSW, QLD, SA, TAS, VIC) from 2002 to 2015.",Curated by archive authors. Part of the common TSF-32 subset.,28,3,22,Auto-reconciled (1 unique source) on 2025-08-04 15:22:11,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,
australian_weather,Nature / Meteorology,3010,"1,332 - 65,981",Daily,Monash Time Series Forecasting Repository,Zenodo Record 4654822,"Comprises 3,010 daily time series of four weather variables from numerous stations across Australia, exhibiting seasonal and stochastic behavior.",11 The large number of noisy and geographically diverse series helped train TTM for robustness and effective generalization.,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
AustraliaRainfall,Environmental Monitoring,"3 (average, minimum, and maximum temperature)",24,Hourly,"Bureau of Meteorology, Australia (via Zenodo)",https://zenodo.org/records/3902654,"Dataset for predicting total daily rainfall using 24 hourly temperature measurements (average, minimum, and maximum) from 518 weather stations across Australia.  Contains over 160,000 instances.","Focuses on the complex and indirect relationship between temperature fluctuations and rainfall.  Sourced from a government meteorological agency (BOM), ensuring high credibility.",30,1,22,Split into 2 records on 2025-08-04 15:22:29,"Multiple Datasets

Reasoning: Although all sources refer to Australian rainfall data, there are key differences that indicate distinct datasets:

* **Monash TSER (Source 1) focuses on predicting daily rainfall from hourly temperature readings.**  It specifies 3 variables (average, minimum, and maximum temperature) at 24 hourly time points.  The purpose is explicitly stated as rainfall *prediction*.  This dataset has a specific link on Zenodo.
* **UTSD (Source 2) describes a multivariate time series sourced from the TSER archive.**  While it shares the 3 variables and hourly interval, the number of time points is different (11.54), suggesting a different aggregation or subset of the data.  Critically, it references the dataset's use for ""extrinsic regression,"" implying a broader application beyond rainfall prediction.  The link provided is a general link to the TSER archive, not to any specific dataset.
* **Web searches reveal additional datasets related to Australian rainfall but none matching the exact specifications of either Source 1 or Source 2.**  While the Bureau of Meteorology (BOM) is a common source, the specific variables, time intervals, and intended use vary widely, reinforcing the conclusion that multiple distinct datasets exist under the shared name.",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AustraliaRainfall,Environment,3,11.54 (Note: This unusual number might indicate an average across time series or some other form of aggregation.),Hourly,TSER Archive,TSER Archive (Specific URL not available),"A multivariate time series from the TSER archive, containing 3 dimensions. Intended for extrinsic regression tasks.",Represents Australian rainfall data but curated by/for the UTS Time Series Dataset with possible data transformations for generic regression tasks.  Further investigation is needed to determine the precise link to the original BOM data and any preprocessing performed.,30,2,22,Split into 2 records on 2025-08-04 15:22:29,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
autogluon/chronos_datasets,Time Series (Forecasting),"N/A (implied id, timestamp, target and potentially other sequence columns)",N/A,N/A (can be inferred with pandas.infer_freq),Hugging Face,https://huggingface.co/autogluon/chronos_datasets,"A dataset repository on Hugging Face under the AutoGluon organization, likely related to Chronos forecasting models. Contains datasets where each row is a time series with id, timestamp, and target columns. Some datasets are very large.","Website inaccessible. Updated Mar 18, 10.4M downloads.",31,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autogluon/chronos_datasets_extra,Time Series (Forecasting),"Varies (e.g., ETTh: 7 vars, ETTm: 7 vars)",Varies,"Varies (e.g., Hourly for ETTh1, 15-minutes for ETTm1/2)",Hugging Face,https://huggingface.co/datasets/autogluon/chronos_datasets_extra,"Contains time series datasets used for training and evaluation of Chronos forecasting models, specifically those with license restrictions preventing hosting in the main chronos_datasets repo. Examples include ETTh, ETTm, brazilian_cities_temperature, spanish_energy_and_weather.","Requires trust_remote_code=True to load. Updated Jul 23, 2024, 840 downloads.",32,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_vm_traces,Cloud Computing,Univariate (CPU Utilization). Source is multivariate.,1.9 billion readings across ~2.6M VMs over 30 days 14,5 minutes 15,Microsoft Azure Public Dataset,https://github.com/Azure/AzurePublicDataset,"Sanitized traces of virtual machine (VM) workload from a Microsoft Azure data center (2019), including CPU utilization readings. Characterized by high frequency and spiky, non-stationary patterns typical of compute workloads.14","Inclusion is critical for training on high-frequency, noisy series common in IT operations. The scale (millions of series) exposes the model to a vast diversity of short-term workload patterns.",33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
Azure-VM-Traces-2017,Cloud Computing,"~2,000,000 VMs","~8,640 (for 30 days)",5 minutes,Microsoft Azure,https://github.com/Azure/AzurePublicDataset,"A trace of the virtual machine (VM) workload from a Microsoft Azure region in 2017, containing 1.2 billion CPU utilization readings from ~2M VMs over 30 days. Provides a realistic view of resource utilization patterns in a large-scale public cloud environment.",Source LOTSA uses a slightly different name (Azure-VM-Traces-2017) but contextually refers to this dataset.,34,3,22,Split into 2 records on 2025-08-04 15:23:11,"Multiple Datasets

**Reasoning:**

While both sources refer to Azure VM traces from 2017, several key discrepancies point to distinct datasets:

* **Number of Time Points and Interval:** LOTSA specifies ~8,640 time points at 5-minute intervals over 30 days. TSFM-Core lists 1,080,000,000 time points with varying intervals. This massive difference suggests different data collection methodologies and scopes.
* **Number of Variables:**  LOTSA explicitly states ~2,000,000 VMs (variables) while TSFM-Core provides a vague ""Multiple.""
* **Primary Source Repository and Link:**  The sources point to completely different repositories – Microsoft Azure's GitHub for LOTSA and a Hugging Face repository by ""Qingren"" for TSFM-Core. This difference confirms they are separate datasets.
* **Detailed Description:** While both describe VM traces, LOTSA focuses on CPU utilization, while TSFM-Core mentions ""usage and resource allocation,"" implying a broader scope.",,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,
azure_vm_traces_2017,Cloud,Multiple,"1,080,000,000",Varies,Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,Traces of virtual machine (VM) usage and resource allocation from Microsoft Azure data centers in 2017. A massive dataset for modeling cloud computing workloads and resource utilization.,Lack of specificity in the TSFM-Core entry makes precise details difficult to ascertain.,34,1,22,Split into 2 records on 2025-08-04 15:23:11,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BasicMotions,Human Activity Recognition (HAR),"6 (3-axis accelerometer, 3-axis gyroscope)",100,0.1 seconds (10 Hz sampling rate),UEA Multivariate Time Series Archive within timeseriesclassification.com,https://timeseriesclassification.com/description.php?Dataset=BasicMotions,"This dataset contains smartwatch recordings of four basic motions performed by four students: walking, resting, running, and badminton.  Data was collected over ten-second intervals, sampled every 0.1 seconds, resulting in 100 time points per instance. Six variables represent 3D accelerometer and 3D gyroscope readings.  The dataset is used for time series classification tasks, aiming to identify the motion based on the sensor data. The data order is accelerometer x, y, z followed by gyroscope x, y, z. Each participant performed each activity five times, leading to a total of 80 instances (40 for training and 40 for testing).",This is a balanced dataset suitable for introductory multivariate time series classification (MTSC). The challenge is effectively using the correlated accelerometer and gyroscope data to distinguish between activities.,35,8,22,Reconciled on 2025-08-04 15:23:57,,,,,,,Y,,,,,,,,Y,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
bdg-2_bear,Energy,Multiple,90000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Likely building energy consumption data.,Part of the building energy data collection. 3,36,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdg-2_fox,Energy,Multiple,40000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,Likely building energy consumption data.,Part of the building energy data collection. 3,37,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdg-2_panther,Energy,Multiple,450000000,Varies,Qingren/TSFM-ScalingLaws-Dataset,Hugging Face,"Likely building energy consumption data. The bdg prefix suggests ""building"".",One of several large building energy datasets in the corpus. 3,38,1,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam-Level-Traffic,Telecommunications,2880,4704,Hourly,Netop Team / Hugging Face,Hugging Face,"A multivariate time series dataset with KPIs from 2,880 beams across 30 5G base stations. Metrics include downlink throughput volume, transmission time, PRB usage, and user count.","Curated to support research in predicting KPIs in communication networks, offering a benchmark for SOTA time series models in the wireless domain.",39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Beef,Spectro,1,470,Not specified,"timeseriesclassification.com, cs.ucr.edu",Beef Description,"The data consists of absorbance spectra from pieces of beef. The task is to distinguish between 5 classes of beef, likely related to quality or type.",Donated by K. Kemsley & A. Bagnall. A 5-class problem with 30 training and 30 testing instances.,40,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:24:40,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
BeetleFly,Image,1,512,Not specified,"timeseriesclassification.com, cs.ucr.edu",BeetleFly Description,"This Image dataset contains 1-dimensional time series. The classification task is to distinguish between a beetle and a fly based on image-derived data, a binary classification problem.",Donated by J. Hills & A. Bagnall. It includes 20 instances for training and 20 for testing.,41,6,22,Auto-reconciled (1 unique source) on 2025-08-04 15:24:40,,,,,,,Y,,,,,,,,Y,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Beijing Multi-Site Air-Quality,Air Quality,12,35064,Hourly,UCI Machine Learning Repository,DOI: 10.24432/C5RK5G,"Comprises hourly measurements of six primary air pollutants and six corresponding meteorological variables at various locations in Beijing over a period of four years (March 1, 2013, to February 28, 2017).",Not explicitly stated in the original paper.,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing PM2.5,"Environmental Science, Air Pollution",13,43824,1 Hour,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/381/beijing+pm2+5+data,"Hourly PM2.5 readings from the US Embassy in Beijing (2010-2014), along with meteorological data (temperature, pressure, dew point, wind speed/direction, cumulative rain/snow) from Beijing Capital International Airport.  The dataset serves as a benchmark for multivariate time series forecasting.","Contains missing values, especially in the 'pm2.5' target variable. The number of variables is listed as 12 in the 'Lag-Llama' source, which is likely an error as 'CiK' and the UCI repository list 13.",43,2,22,Split into 2 records on 2025-08-04 15:24:55,"Multiple Datasets

Reasoning: While all sources mention Beijing and PM2.5, there are key differences. Source 1 (CiK) and Source 2 (Lag-Llama) describe a dataset from the US Embassy in Beijing spanning 2010-2014, with hourly data and meteorological information.  However, the web search reveals another dataset also related to Beijing PM2.5 but covering multiple sites across Beijing from 2013-2017 with more pollutants. This discrepancy in time periods, locations, and variables suggests distinct datasets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Beijing Multi-Site Air-Quality Data,Air Quality,"18 (6 pollutants: PM2.5, PM10, SO2, NO2, CO, O3; 6 meteorological variables: temperature, pressure, dew point, precipitation, wind direction, wind speed; and other data.)",420768,1 Hour,UCI Machine Learning Repository,(Multiple files available within the repository; no single direct link available.),"Hourly air quality and meteorological data from 12 monitoring sites across Beijing, covering the period from March 2013 to February 2017.  Includes measurements for six key pollutants (PM2.5, PM10, SO2, NO2, CO, and O3).",Also available on Kaggle.  Derived from two primary sources: air quality data from the Beijing Municipal Environmental Monitoring Center and meteorological data from the China Meteorological Administration.  The specific 12 sites are not explicitly named in all sources. | Gemini-identified sources: (None),43,1,22,Split into 2 records on 2025-08-04 15:24:55,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing Multi-Site Air-Quality Data,Air Quality,"18 (6 pollutants: PM2.5, PM10, SO2, NO2, CO, O3; 6 meteorological variables: temperature, pressure, dew point, precipitation, wind direction, wind speed; and other data.)",420768,1 Hour,UCI Machine Learning Repository,(Multiple files available within the repository; no single direct link available.),"Hourly air quality and meteorological data from 12 monitoring sites across Beijing, covering the period from March 2013 to February 2017.  Includes measurements for six key pollutants (PM2.5, PM10, SO2, NO2, CO, and O3).",Also available on Kaggle.  Derived from two primary sources: air quality data from the Beijing Municipal Environmental Monitoring Center and meteorological data from the China Meteorological Administration.  The specific 12 sites are not explicitly named in all sources. | Gemini-identified sources: (None),43,1,22,Split into 2 records on 2025-08-04 15:24:55,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
